catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
89	CCDC17	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
90	CDC5L	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
91	CDX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
92	CDX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
93	CDX4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
97	CEBPE	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
98	CEBPG	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
99	CEBPZ	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
100	CENPA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
101	CENPB	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
102	CENPBD1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
103	CENPS	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
104	CENPT	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
105	CENPX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
106	CGGBP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
107	CHAMP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
108	CHCHD3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
109	CIC	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
110	CLOCK	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
112	CPXCR1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
113	CREB1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
114	CREB3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
115	CREB3L1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
116	CREB3L2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
117	CREB3L3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
118	CREB3L4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
120	CREBL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
121	CREBZF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
122	CREM	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
123	CRX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
124	CSRNP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
125	CSRNP2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
126	CSRNP3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
127	CTCF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
128	CTCFL	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
129	CUX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
131	CXXC1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
132	CXXC4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
135	DACH2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
136	DBP	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
137	DBX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
138	DBX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
139	DDIT3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
140	DEAF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
141	DLX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
142	DLX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
143	DLX3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
144	DLX4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
145	DLX5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
146	DLX6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
147	DMBX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
148	DMRT1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
149	DMRT2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
150	DMRT3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
151	DMRTA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
152	DMRTA2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
153	DMRTB1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
154	DMRTC2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
155	DMTF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
156	DNMT1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
157	DNTTIP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
158	DOT1L	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
159	DPF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
160	DPF3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
161	DPRX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
162	DR1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
163	DRAP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
164	DRGX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
165	DUX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
166	DUX3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
167	DUX4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
168	DUXA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
169	DZIP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
172	E2F3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
173	E2F4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
174	E2F5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
175	E2F6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
178	E4F1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
180	EBF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
181	EBF3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
182	EBF4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
183	EEA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
185	EGR2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
186	EGR3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
187	EGR4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
