tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
KLF5	KLF5	469	Lambert_human_TFs	v1.01
KLF6	KLF6	470	Lambert_human_TFs	v1.01
KLF7	KLF7	471	Lambert_human_TFs	v1.01
KLF8	KLF8	472	Lambert_human_TFs	v1.01
KLF9	KLF9	473	Lambert_human_TFs	v1.01
KMT2A	KMT2A	474	Lambert_human_TFs	v1.01
KMT2B	KMT2B	475	Lambert_human_TFs	v1.01
L3MBTL1	L3MBTL1	476	Lambert_human_TFs	v1.01
L3MBTL3	L3MBTL3	477	Lambert_human_TFs	v1.01
L3MBTL4	L3MBTL4	478	Lambert_human_TFs	v1.01
LBX1	LBX1	479	Lambert_human_TFs	v1.01
LBX2	LBX2	480	Lambert_human_TFs	v1.01
LCOR	LCOR	481	Lambert_human_TFs	v1.01
LCORL	LCORL	482	Lambert_human_TFs	v1.01
LEF1	LEF1	483	Lambert_human_TFs	v1.01
LEUTX	LEUTX	484	Lambert_human_TFs	v1.01
LHX1	LHX1	485	Lambert_human_TFs	v1.01
LHX2	LHX2	486	Lambert_human_TFs	v1.01
LHX3	LHX3	487	Lambert_human_TFs	v1.01
LHX4	LHX4	488	Lambert_human_TFs	v1.01
LHX5	LHX5	489	Lambert_human_TFs	v1.01
LHX6	LHX6	490	Lambert_human_TFs	v1.01
LHX8	LHX8	491	Lambert_human_TFs	v1.01
LHX9	LHX9	492	Lambert_human_TFs	v1.01
LIN28A	LIN28A	493	Lambert_human_TFs	v1.01
LIN28B	LIN28B	494	Lambert_human_TFs	v1.01
LIN54	LIN54	495	Lambert_human_TFs	v1.01
LMX1A	LMX1A	496	Lambert_human_TFs	v1.01
LMX1B	LMX1B	497	Lambert_human_TFs	v1.01
LTF	LTF	498	Lambert_human_TFs	v1.01
LYL1	LYL1	499	Lambert_human_TFs	v1.01
MAF	MAF	500	Lambert_human_TFs	v1.01
MAFA	MAFA	501	Lambert_human_TFs	v1.01
MAFB	MAFB	502	Lambert_human_TFs	v1.01
MAFF	MAFF	503	Lambert_human_TFs	v1.01
MAFG	MAFG	504	Lambert_human_TFs	v1.01
MAFK	MAFK	505	Lambert_human_TFs	v1.01
MAX	MAX	506	Lambert_human_TFs	v1.01
MAZ	MAZ	507	Lambert_human_TFs	v1.01
MBD1	MBD1	508	Lambert_human_TFs	v1.01
MBD2	MBD2	509	Lambert_human_TFs	v1.01
MBD3	MBD3	510	Lambert_human_TFs	v1.01
MBD4	MBD4	511	Lambert_human_TFs	v1.01
MBD6	MBD6	512	Lambert_human_TFs	v1.01
MBNL2	MBNL2	513	Lambert_human_TFs	v1.01
MECOM	MECOM	514	Lambert_human_TFs	v1.01
MECP2	MECP2	515	Lambert_human_TFs	v1.01
MEF2A	MEF2A	516	Lambert_human_TFs	v1.01
MEF2B	MEF2B	517	Lambert_human_TFs	v1.01
MEF2C	MEF2C	518	Lambert_human_TFs	v1.01
MEF2D	MEF2D	519	Lambert_human_TFs	v1.01
MEIS1	MEIS1	520	Lambert_human_TFs	v1.01
MEIS2	MEIS2	521	Lambert_human_TFs	v1.01
MEIS3	MEIS3	522	Lambert_human_TFs	v1.01
MEOX1	MEOX1	523	Lambert_human_TFs	v1.01
MEOX2	MEOX2	524	Lambert_human_TFs	v1.01
MESP1	MESP1	525	Lambert_human_TFs	v1.01
MESP2	MESP2	526	Lambert_human_TFs	v1.01
MGA	MGA	527	Lambert_human_TFs	v1.01
MITF	MITF	528	Lambert_human_TFs	v1.01
MIXL1	MIXL1	529	Lambert_human_TFs	v1.01
MKX	MKX	530	Lambert_human_TFs	v1.01
MLX	MLX	531	Lambert_human_TFs	v1.01
MLXIP	MLXIP	532	Lambert_human_TFs	v1.01
MLXIPL	MLXIPL	533	Lambert_human_TFs	v1.01
MNT	MNT	534	Lambert_human_TFs	v1.01
MNX1	MNX1	535	Lambert_human_TFs	v1.01
MSANTD1	MSANTD1	536	Lambert_human_TFs	v1.01
MSANTD3	MSANTD3	537	Lambert_human_TFs	v1.01
MSANTD4	MSANTD4	538	Lambert_human_TFs	v1.01
MSC	MSC	539	Lambert_human_TFs	v1.01
MSGN1	MSGN1	540	Lambert_human_TFs	v1.01
MSX1	MSX1	541	Lambert_human_TFs	v1.01
MSX2	MSX2	542	Lambert_human_TFs	v1.01
MTERF1	MTERF1	543	Lambert_human_TFs	v1.01
MTERF2	MTERF2	544	Lambert_human_TFs	v1.01
MTERF3	MTERF3	545	Lambert_human_TFs	v1.01
MTERF4	MTERF4	546	Lambert_human_TFs	v1.01
MTF1	MTF1	547	Lambert_human_TFs	v1.01
MTF2	MTF2	548	Lambert_human_TFs	v1.01
MXD1	MXD1	549	Lambert_human_TFs	v1.01
MXD3	MXD3	550	Lambert_human_TFs	v1.01
MXD4	MXD4	551	Lambert_human_TFs	v1.01
MXI1	MXI1	552	Lambert_human_TFs	v1.01
MYB	MYB	553	Lambert_human_TFs	v1.01
MYBL1	MYBL1	554	Lambert_human_TFs	v1.01
MYBL2	MYBL2	555	Lambert_human_TFs	v1.01
MYC	MYC	556	Lambert_human_TFs	v1.01
MYCL	MYCL	557	Lambert_human_TFs	v1.01
MYCN	MYCN	558	Lambert_human_TFs	v1.01
MYF5	MYF5	559	Lambert_human_TFs	v1.01
MYF6	MYF6	560	Lambert_human_TFs	v1.01
MYNN	MYNN	561	Lambert_human_TFs	v1.01
MYOD1	MYOD1	562	Lambert_human_TFs	v1.01
MYOG	MYOG	563	Lambert_human_TFs	v1.01
MYPOP	MYPOP	564	Lambert_human_TFs	v1.01
MYRF	MYRF	565	Lambert_human_TFs	v1.01
MYRFL	MYRFL	566	Lambert_human_TFs	v1.01
MYSM1	MYSM1	567	Lambert_human_TFs	v1.01
MYT1	MYT1	568	Lambert_human_TFs	v1.01
MYT1L	MYT1L	569	Lambert_human_TFs	v1.01
MZF1	MZF1	570	Lambert_human_TFs	v1.01
NACC2	NACC2	571	Lambert_human_TFs	v1.01
NAIF1	NAIF1	572	Lambert_human_TFs	v1.01
NANOG	NANOG	573	Lambert_human_TFs	v1.01
NANOGNB	NANOGNB	574	Lambert_human_TFs	v1.01
NANOGP8	NANOGP8	575	Lambert_human_TFs	v1.01
NCOA1	NCOA1	576	Lambert_human_TFs	v1.01
NCOA2	NCOA2	577	Lambert_human_TFs	v1.01
NCOA3	NCOA3	578	Lambert_human_TFs	v1.01
NEUROD1	NEUROD1	579	Lambert_human_TFs	v1.01
NEUROD2	NEUROD2	580	Lambert_human_TFs	v1.01
NEUROD4	NEUROD4	581	Lambert_human_TFs	v1.01
NEUROD6	NEUROD6	582	Lambert_human_TFs	v1.01
NEUROG1	NEUROG1	583	Lambert_human_TFs	v1.01
NEUROG2	NEUROG2	584	Lambert_human_TFs	v1.01
NEUROG3	NEUROG3	585	Lambert_human_TFs	v1.01
NFAT5	NFAT5	586	Lambert_human_TFs	v1.01
NFATC1	NFATC1	587	Lambert_human_TFs	v1.01
NFATC2	NFATC2	588	Lambert_human_TFs	v1.01
NFATC3	NFATC3	589	Lambert_human_TFs	v1.01
NFATC4	NFATC4	590	Lambert_human_TFs	v1.01
NFE2	NFE2	591	Lambert_human_TFs	v1.01
NFE2L1	NFE2L1	592	Lambert_human_TFs	v1.01
NFE2L2	NFE2L2	593	Lambert_human_TFs	v1.01
NFE2L3	NFE2L3	594	Lambert_human_TFs	v1.01
NFE4	NFE4	595	Lambert_human_TFs	v1.01
NFIA	NFIA	596	Lambert_human_TFs	v1.01
NFIB	NFIB	597	Lambert_human_TFs	v1.01
NFIC	NFIC	598	Lambert_human_TFs	v1.01
NFIL3	NFIL3	599	Lambert_human_TFs	v1.01
NFIX	NFIX	600	Lambert_human_TFs	v1.01
NFKB1	NFKB1	601	Lambert_human_TFs	v1.01
NFKB2	NFKB2	602	Lambert_human_TFs	v1.01
NFX1	NFX1	603	Lambert_human_TFs	v1.01
NFXL1	NFXL1	604	Lambert_human_TFs	v1.01
NFYA	NFYA	605	Lambert_human_TFs	v1.01
NFYB	NFYB	606	Lambert_human_TFs	v1.01
NFYC	NFYC	607	Lambert_human_TFs	v1.01
NHLH1	NHLH1	608	Lambert_human_TFs	v1.01
NHLH2	NHLH2	609	Lambert_human_TFs	v1.01
NKRF	NKRF	610	Lambert_human_TFs	v1.01
NKX1-1	NKX1-1	611	Lambert_human_TFs	v1.01
NKX1-2	NKX1-2	612	Lambert_human_TFs	v1.01
NKX2-1	NKX2-1	613	Lambert_human_TFs	v1.01
NKX2-2	NKX2-2	614	Lambert_human_TFs	v1.01
NKX2-3	NKX2-3	615	Lambert_human_TFs	v1.01
NKX2-4	NKX2-4	616	Lambert_human_TFs	v1.01
NKX2-5	NKX2-5	617	Lambert_human_TFs	v1.01
NKX2-6	NKX2-6	618	Lambert_human_TFs	v1.01
NKX2-8	NKX2-8	619	Lambert_human_TFs	v1.01
NKX3-1	NKX3-1	620	Lambert_human_TFs	v1.01
NKX3-2	NKX3-2	621	Lambert_human_TFs	v1.01
NKX6-1	NKX6-1	622	Lambert_human_TFs	v1.01
NKX6-2	NKX6-2	623	Lambert_human_TFs	v1.01
NKX6-3	NKX6-3	624	Lambert_human_TFs	v1.01
NME2	NME2	625	Lambert_human_TFs	v1.01
NOBOX	NOBOX	626	Lambert_human_TFs	v1.01
NOTO	NOTO	627	Lambert_human_TFs	v1.01
NPAS1	NPAS1	628	Lambert_human_TFs	v1.01
NPAS2	NPAS2	629	Lambert_human_TFs	v1.01
NPAS3	NPAS3	630	Lambert_human_TFs	v1.01
NPAS4	NPAS4	631	Lambert_human_TFs	v1.01
NR0B1	NR0B1	632	Lambert_human_TFs	v1.01
NR1D1	NR1D1	633	Lambert_human_TFs	v1.01
NR1D2	NR1D2	634	Lambert_human_TFs	v1.01
NR1H2	NR1H2	635	Lambert_human_TFs	v1.01
NR1H3	NR1H3	636	Lambert_human_TFs	v1.01
NR1H4	NR1H4	637	Lambert_human_TFs	v1.01
NR1I2	NR1I2	638	Lambert_human_TFs	v1.01
NR1I3	NR1I3	639	Lambert_human_TFs	v1.01
NR2C1	NR2C1	640	Lambert_human_TFs	v1.01
NR2C2	NR2C2	641	Lambert_human_TFs	v1.01
NR2E1	NR2E1	642	Lambert_human_TFs	v1.01
NR2E3	NR2E3	643	Lambert_human_TFs	v1.01
NR2F1	NR2F1	644	Lambert_human_TFs	v1.01
NR2F2	NR2F2	645	Lambert_human_TFs	v1.01
NR2F6	NR2F6	646	Lambert_human_TFs	v1.01
NR3C1	NR3C1	647	Lambert_human_TFs	v1.01
NR3C2	NR3C2	648	Lambert_human_TFs	v1.01
NR4A1	NR4A1	649	Lambert_human_TFs	v1.01
NR4A2	NR4A2	650	Lambert_human_TFs	v1.01
NR4A3	NR4A3	651	Lambert_human_TFs	v1.01
NR5A1	NR5A1	652	Lambert_human_TFs	v1.01
NR5A2	NR5A2	653	Lambert_human_TFs	v1.01
NR6A1	NR6A1	654	Lambert_human_TFs	v1.01
NRF1	NRF1	655	Lambert_human_TFs	v1.01
NRL	NRL	656	Lambert_human_TFs	v1.01
OLIG1	OLIG1	657	Lambert_human_TFs	v1.01
OLIG2	OLIG2	658	Lambert_human_TFs	v1.01
OLIG3	OLIG3	659	Lambert_human_TFs	v1.01
ONECUT1	ONECUT1	660	Lambert_human_TFs	v1.01
ONECUT2	ONECUT2	661	Lambert_human_TFs	v1.01
ONECUT3	ONECUT3	662	Lambert_human_TFs	v1.01
OSR1	OSR1	663	Lambert_human_TFs	v1.01
OSR2	OSR2	664	Lambert_human_TFs	v1.01
OTP	OTP	665	Lambert_human_TFs	v1.01
OTX1	OTX1	666	Lambert_human_TFs	v1.01
OTX2	OTX2	667	Lambert_human_TFs	v1.01
OVOL1	OVOL1	668	Lambert_human_TFs	v1.01
OVOL2	OVOL2	669	Lambert_human_TFs	v1.01
OVOL3	OVOL3	670	Lambert_human_TFs	v1.01
PA2G4	PA2G4	671	Lambert_human_TFs	v1.01
PATZ1	PATZ1	672	Lambert_human_TFs	v1.01
PAX1	PAX1	673	Lambert_human_TFs	v1.01
PAX2	PAX2	674	Lambert_human_TFs	v1.01
PAX3	PAX3	675	Lambert_human_TFs	v1.01
PAX4	PAX4	676	Lambert_human_TFs	v1.01
PAX5	PAX5	677	Lambert_human_TFs	v1.01
PAX6	PAX6	678	Lambert_human_TFs	v1.01
PAX7	PAX7	679	Lambert_human_TFs	v1.01
PAX8	PAX8	680	Lambert_human_TFs	v1.01
PAX9	PAX9	681	Lambert_human_TFs	v1.01
PBX1	PBX1	682	Lambert_human_TFs	v1.01
PBX2	PBX2	683	Lambert_human_TFs	v1.01
PBX3	PBX3	684	Lambert_human_TFs	v1.01
PBX4	PBX4	685	Lambert_human_TFs	v1.01
PCGF2	PCGF2	686	Lambert_human_TFs	v1.01
PCGF6	PCGF6	687	Lambert_human_TFs	v1.01
PDX1	PDX1	688	Lambert_human_TFs	v1.01
PEG3	PEG3	689	Lambert_human_TFs	v1.01
PGR	PGR	690	Lambert_human_TFs	v1.01
PHF1	PHF1	691	Lambert_human_TFs	v1.01
PHF19	PHF19 	692	Lambert_human_TFs	v1.01
PHF20	PHF20	693	Lambert_human_TFs	v1.01
PHF21A	PHF21A	694	Lambert_human_TFs	v1.01
PHOX2A	PHOX2A	695	Lambert_human_TFs	v1.01
PHOX2B	PHOX2B	696	Lambert_human_TFs	v1.01
PIN1	PIN1	697	Lambert_human_TFs	v1.01
PITX1	PITX1	698	Lambert_human_TFs	v1.01
PITX2	PITX2	699	Lambert_human_TFs	v1.01
PITX3	PITX3	700	Lambert_human_TFs	v1.01
PKNOX1	PKNOX1	701	Lambert_human_TFs	v1.01
PKNOX2	PKNOX2	702	Lambert_human_TFs	v1.01
PLAG1	PLAG1	703	Lambert_human_TFs	v1.01
PLAGL1	PLAGL1	704	Lambert_human_TFs	v1.01
PLAGL2	PLAGL2	705	Lambert_human_TFs	v1.01
PLSCR1	PLSCR1	706	Lambert_human_TFs	v1.01
POGK	POGK	707	Lambert_human_TFs	v1.01
POU1F1	POU1F1	708	Lambert_human_TFs	v1.01
POU2AF1	POU2AF1	709	Lambert_human_TFs	v1.01
POU2F1	POU2F1	710	Lambert_human_TFs	v1.01
POU2F2	POU2F2	711	Lambert_human_TFs	v1.01
POU2F3	POU2F3	712	Lambert_human_TFs	v1.01
POU3F1	POU3F1	713	Lambert_human_TFs	v1.01
POU3F2	POU3F2	714	Lambert_human_TFs	v1.01
POU3F3	POU3F3	715	Lambert_human_TFs	v1.01
POU3F4	POU3F4	716	Lambert_human_TFs	v1.01
POU4F1	POU4F1	717	Lambert_human_TFs	v1.01
POU4F2	POU4F2	718	Lambert_human_TFs	v1.01
POU4F3	POU4F3	719	Lambert_human_TFs	v1.01
POU5F1	POU5F1	720	Lambert_human_TFs	v1.01
POU5F1B	POU5F1B	721	Lambert_human_TFs	v1.01
POU5F2	POU5F2	722	Lambert_human_TFs	v1.01
POU6F1	POU6F1	723	Lambert_human_TFs	v1.01
POU6F2	POU6F2	724	Lambert_human_TFs	v1.01
PPARA	PPARA	725	Lambert_human_TFs	v1.01
PPARD	PPARD	726	Lambert_human_TFs	v1.01
PPARG	PPARG	727	Lambert_human_TFs	v1.01
PRDM1	PRDM1	728	Lambert_human_TFs	v1.01
PRDM10	PRDM10	729	Lambert_human_TFs	v1.01
PRDM12	PRDM12	730	Lambert_human_TFs	v1.01
PRDM13	PRDM13	731	Lambert_human_TFs	v1.01
PRDM14	PRDM14	732	Lambert_human_TFs	v1.01
PRDM15	PRDM15	733	Lambert_human_TFs	v1.01
PRDM16	PRDM16	734	Lambert_human_TFs	v1.01
PRDM2	PRDM2	735	Lambert_human_TFs	v1.01
PRDM4	PRDM4	736	Lambert_human_TFs	v1.01
PRDM5	PRDM5	737	Lambert_human_TFs	v1.01
PRDM6	PRDM6	738	Lambert_human_TFs	v1.01
PRDM8	PRDM8	739	Lambert_human_TFs	v1.01
PRDM9	PRDM9	740	Lambert_human_TFs	v1.01
PREB	PREB	741	Lambert_human_TFs	v1.01
PRMT3	PRMT3	742	Lambert_human_TFs	v1.01
PROP1	PROP1	743	Lambert_human_TFs	v1.01
PROX1	PROX1	744	Lambert_human_TFs	v1.01
PROX2	PROX2	745	Lambert_human_TFs	v1.01
PRR12	PRR12	746	Lambert_human_TFs	v1.01
PRRX1	PRRX1	747	Lambert_human_TFs	v1.01
PRRX2	PRRX2	748	Lambert_human_TFs	v1.01
PTF1A	PTF1A	749	Lambert_human_TFs	v1.01
PURA	PURA	750	Lambert_human_TFs	v1.01
PURB	PURB	751	Lambert_human_TFs	v1.01
PURG	PURG	752	Lambert_human_TFs	v1.01
RAG1	RAG1	753	Lambert_human_TFs	v1.01
RARA	RARA	754	Lambert_human_TFs	v1.01
RARB	RARB	755	Lambert_human_TFs	v1.01
RARG	RARG	756	Lambert_human_TFs	v1.01
RAX	RAX	757	Lambert_human_TFs	v1.01
RAX2	RAX2	758	Lambert_human_TFs	v1.01
RBAK	RBAK	759	Lambert_human_TFs	v1.01
RBCK1	RBCK1	760	Lambert_human_TFs	v1.01
RBPJ	RBPJ	761	Lambert_human_TFs	v1.01
RBPJL	RBPJL	762	Lambert_human_TFs	v1.01
RBSN	RBSN	763	Lambert_human_TFs	v1.01
REL	REL	764	Lambert_human_TFs	v1.01
RELA	RELA	765	Lambert_human_TFs	v1.01
RELB	RELB	766	Lambert_human_TFs	v1.01
REPIN1	REPIN1	767	Lambert_human_TFs	v1.01
REST	REST	768	Lambert_human_TFs	v1.01
REXO4	REXO4	769	Lambert_human_TFs	v1.01
RFX1	RFX1	770	Lambert_human_TFs	v1.01
RFX2	RFX2	771	Lambert_human_TFs	v1.01
RFX3	RFX3	772	Lambert_human_TFs	v1.01
RFX4	RFX4	773	Lambert_human_TFs	v1.01
RFX5	RFX5	774	Lambert_human_TFs	v1.01
RFX6	RFX6	775	Lambert_human_TFs	v1.01
RFX7	RFX7	776	Lambert_human_TFs	v1.01
RFX8	RFX8	777	Lambert_human_TFs	v1.01
RHOXF1	RHOXF1	778	Lambert_human_TFs	v1.01
RHOXF2	RHOXF2	779	Lambert_human_TFs	v1.01
RHOXF2B	RHOXF2B	780	Lambert_human_TFs	v1.01
RLF	RLF	781	Lambert_human_TFs	v1.01
RORA	RORA	782	Lambert_human_TFs	v1.01
RORB	RORB	783	Lambert_human_TFs	v1.01
RORC	RORC	784	Lambert_human_TFs	v1.01
RREB1	RREB1	785	Lambert_human_TFs	v1.01
RUNX1	RUNX1	786	Lambert_human_TFs	v1.01
RUNX2	RUNX2	787	Lambert_human_TFs	v1.01
RUNX3	RUNX3	788	Lambert_human_TFs	v1.01
RXRA	RXRA	789	Lambert_human_TFs	v1.01
RXRB	RXRB	790	Lambert_human_TFs	v1.01
RXRG	RXRG	791	Lambert_human_TFs	v1.01
SAFB	SAFB	792	Lambert_human_TFs	v1.01
SAFB2	SAFB2	793	Lambert_human_TFs	v1.01
SALL1	SALL1	794	Lambert_human_TFs	v1.01
SALL2	SALL2	795	Lambert_human_TFs	v1.01
SALL3	SALL3	796	Lambert_human_TFs	v1.01
SALL4	SALL4	797	Lambert_human_TFs	v1.01
SATB1	SATB1	798	Lambert_human_TFs	v1.01
SATB2	SATB2	799	Lambert_human_TFs	v1.01
SCMH1	SCMH1	800	Lambert_human_TFs	v1.01
SCML4	SCML4	801	Lambert_human_TFs	v1.01
SCRT1	SCRT1	802	Lambert_human_TFs	v1.01
SCRT2	SCRT2	803	Lambert_human_TFs	v1.01
SCX	SCX	804	Lambert_human_TFs	v1.01
SEBOX	SEBOX	805	Lambert_human_TFs	v1.01
SETBP1	SETBP1	806	Lambert_human_TFs	v1.01
SETDB1	SETDB1	807	Lambert_human_TFs	v1.01
SETDB2	SETDB2	808	Lambert_human_TFs	v1.01
SGSM2	SGSM2	809	Lambert_human_TFs	v1.01
SHOX	SHOX	810	Lambert_human_TFs	v1.01
SHOX2	SHOX2	811	Lambert_human_TFs	v1.01
SIM1	SIM1	812	Lambert_human_TFs	v1.01
SIM2	SIM2	813	Lambert_human_TFs	v1.01
SIX1	SIX1	814	Lambert_human_TFs	v1.01
SIX2	SIX2	815	Lambert_human_TFs	v1.01
SIX3	SIX3	816	Lambert_human_TFs	v1.01
SIX4	SIX4	817	Lambert_human_TFs	v1.01
SIX5	SIX5	818	Lambert_human_TFs	v1.01
SIX6	SIX6	819	Lambert_human_TFs	v1.01
SKI	SKI	820	Lambert_human_TFs	v1.01
SKIL	SKIL	821	Lambert_human_TFs	v1.01
SKOR1	SKOR1	822	Lambert_human_TFs	v1.01
SKOR2	SKOR2	823	Lambert_human_TFs	v1.01
SLC2A4RG	SLC2A4RG	824	Lambert_human_TFs	v1.01
SMAD1	SMAD1	825	Lambert_human_TFs	v1.01
SMAD3	SMAD3	826	Lambert_human_TFs	v1.01
SMAD4	SMAD4	827	Lambert_human_TFs	v1.01
SMAD5	SMAD5	828	Lambert_human_TFs	v1.01
SMAD9	SMAD9	829	Lambert_human_TFs	v1.01
SMYD3	SMYD3	830	Lambert_human_TFs	v1.01
SNAI1	SNAI1	831	Lambert_human_TFs	v1.01
SNAI2	SNAI2	832	Lambert_human_TFs	v1.01
SNAI3	SNAI3	833	Lambert_human_TFs	v1.01
SNAPC2	SNAPC2	834	Lambert_human_TFs	v1.01
SNAPC4	SNAPC4	835	Lambert_human_TFs	v1.01
SNAPC5	SNAPC5	836	Lambert_human_TFs	v1.01
SOHLH1	SOHLH1	837	Lambert_human_TFs	v1.01
SOHLH2	SOHLH2	838	Lambert_human_TFs	v1.01
SON	SON	839	Lambert_human_TFs	v1.01
SOX1	SOX1	840	Lambert_human_TFs	v1.01
SOX10	SOX10	841	Lambert_human_TFs	v1.01
SOX11	SOX11	842	Lambert_human_TFs	v1.01
SOX12	SOX12	843	Lambert_human_TFs	v1.01
SOX13	SOX13	844	Lambert_human_TFs	v1.01
SOX14	SOX14	845	Lambert_human_TFs	v1.01
SOX15	SOX15	846	Lambert_human_TFs	v1.01
SOX17	SOX17	847	Lambert_human_TFs	v1.01
SOX18	SOX18	848	Lambert_human_TFs	v1.01
SOX2	SOX2	849	Lambert_human_TFs	v1.01
SOX21	SOX21	850	Lambert_human_TFs	v1.01
SOX3	SOX3	851	Lambert_human_TFs	v1.01
SOX30	SOX30	852	Lambert_human_TFs	v1.01
SOX4	SOX4	853	Lambert_human_TFs	v1.01
SOX5	SOX5	854	Lambert_human_TFs	v1.01
SOX6	SOX6	855	Lambert_human_TFs	v1.01
SOX7	SOX7	856	Lambert_human_TFs	v1.01
SOX8	SOX8	857	Lambert_human_TFs	v1.01
SOX9	SOX9	858	Lambert_human_TFs	v1.01
SP1	SP1	859	Lambert_human_TFs	v1.01
SP100	SP100	860	Lambert_human_TFs	v1.01
SP110	SP110	861	Lambert_human_TFs	v1.01
SP140	SP140	862	Lambert_human_TFs	v1.01
SP140L	SP140L	863	Lambert_human_TFs	v1.01
SP2	SP2	864	Lambert_human_TFs	v1.01
SP3	SP3	865	Lambert_human_TFs	v1.01
SP4	SP4	866	Lambert_human_TFs	v1.01
SP5	SP5	867	Lambert_human_TFs	v1.01
SP6	SP6	868	Lambert_human_TFs	v1.01
SP7	SP7	869	Lambert_human_TFs	v1.01
SP8	SP8	870	Lambert_human_TFs	v1.01
SP9	SP9	871	Lambert_human_TFs	v1.01
SPDEF	SPDEF	872	Lambert_human_TFs	v1.01
SPEN	SPEN	873	Lambert_human_TFs	v1.01
SPI1	SPI1	874	Lambert_human_TFs	v1.01
SPIB	SPIB	875	Lambert_human_TFs	v1.01
SPIC	SPIC	876	Lambert_human_TFs	v1.01
SPZ1	SPZ1	877	Lambert_human_TFs	v1.01
SRCAP	SRCAP	878	Lambert_human_TFs	v1.01
SREBF1	SREBF1	879	Lambert_human_TFs	v1.01
SREBF2	SREBF2	880	Lambert_human_TFs	v1.01
SRF	SRF	881	Lambert_human_TFs	v1.01
SRY	SRY	882	Lambert_human_TFs	v1.01
ST18	ST18	883	Lambert_human_TFs	v1.01
STAT1	STAT1	884	Lambert_human_TFs	v1.01
STAT2	STAT2	885	Lambert_human_TFs	v1.01
STAT3	STAT3	886	Lambert_human_TFs	v1.01
STAT4	STAT4	887	Lambert_human_TFs	v1.01
STAT5A	STAT5A	888	Lambert_human_TFs	v1.01
STAT5B	STAT5B	889	Lambert_human_TFs	v1.01
STAT6	STAT6	890	Lambert_human_TFs	v1.01
T	T	891	Lambert_human_TFs	v1.01
TAL1	TAL1	892	Lambert_human_TFs	v1.01
TAL2	TAL2	893	Lambert_human_TFs	v1.01
TBP	TBP	894	Lambert_human_TFs	v1.01
TBPL1	TBPL1	895	Lambert_human_TFs	v1.01
TBPL2	TBPL2	896	Lambert_human_TFs	v1.01
TBR1	TBR1	897	Lambert_human_TFs	v1.01
TBX1	TBX1	898	Lambert_human_TFs	v1.01
TBX10	TBX10	899	Lambert_human_TFs	v1.01
TBX15	TBX15	900	Lambert_human_TFs	v1.01
TBX18	TBX18	901	Lambert_human_TFs	v1.01
TBX19	TBX19	902	Lambert_human_TFs	v1.01
TBX2	TBX2	903	Lambert_human_TFs	v1.01
TBX20	TBX20	904	Lambert_human_TFs	v1.01
TBX21	TBX21	905	Lambert_human_TFs	v1.01
TBX22	TBX22	906	Lambert_human_TFs	v1.01
TBX3	TBX3	907	Lambert_human_TFs	v1.01
TBX4	TBX4	908	Lambert_human_TFs	v1.01
TBX5	TBX5	909	Lambert_human_TFs	v1.01
TBX6	TBX6	910	Lambert_human_TFs	v1.01
TCF12	TCF12	911	Lambert_human_TFs	v1.01
TCF15	TCF15	912	Lambert_human_TFs	v1.01
TCF20	TCF20	913	Lambert_human_TFs	v1.01
TCF21	TCF21	914	Lambert_human_TFs	v1.01
TCF23	TCF23	915	Lambert_human_TFs	v1.01
TCF24	TCF24	916	Lambert_human_TFs	v1.01
TCF3	TCF3	917	Lambert_human_TFs	v1.01
TCF4	TCF4	918	Lambert_human_TFs	v1.01
TCF7	TCF7	919	Lambert_human_TFs	v1.01
TCF7L1	TCF7L1	920	Lambert_human_TFs	v1.01
TCF7L2	TCF7L2	921	Lambert_human_TFs	v1.01
TCFL5	TCFL5	922	Lambert_human_TFs	v1.01
TEAD1	TEAD1	923	Lambert_human_TFs	v1.01
TEAD2	TEAD2	924	Lambert_human_TFs	v1.01
TEAD3	TEAD3	925	Lambert_human_TFs	v1.01
TEAD4	TEAD4	926	Lambert_human_TFs	v1.01
TEF	TEF	927	Lambert_human_TFs	v1.01
TERB1	TERB1	928	Lambert_human_TFs	v1.01
TERF1	TERF1	929	Lambert_human_TFs	v1.01
TERF2	TERF2	930	Lambert_human_TFs	v1.01
TET1	TET1	931	Lambert_human_TFs	v1.01
TET2	TET2	932	Lambert_human_TFs	v1.01
TET3	TET3	933	Lambert_human_TFs	v1.01
TFAP2A	TFAP2A	934	Lambert_human_TFs	v1.01
TFAP2B	TFAP2B	935	Lambert_human_TFs	v1.01
TFAP2C	TFAP2C	936	Lambert_human_TFs	v1.01
TFAP2D	TFAP2D	937	Lambert_human_TFs	v1.01
TFAP2E	TFAP2E	938	Lambert_human_TFs	v1.01
TFAP4	TFAP4	939	Lambert_human_TFs	v1.01
TFCP2	TFCP2	940	Lambert_human_TFs	v1.01
TFCP2L1	TFCP2L1	941	Lambert_human_TFs	v1.01
TFDP1	TFDP1	942	Lambert_human_TFs	v1.01
TFDP2	TFDP2	943	Lambert_human_TFs	v1.01
TFDP3	TFDP3	944	Lambert_human_TFs	v1.01
TFE3	TFE3	945	Lambert_human_TFs	v1.01
TFEB	TFEB	946	Lambert_human_TFs	v1.01
TFEC	TFEC	947	Lambert_human_TFs	v1.01
TGIF1	TGIF1	948	Lambert_human_TFs	v1.01
TGIF2	TGIF2	949	Lambert_human_TFs	v1.01
