tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
CGGBP1	CGGBP1	106	Lambert_human_TFs	v1.01
CHAMP1	CHAMP1	107	Lambert_human_TFs	v1.01
CHCHD3	CHCHD3	108	Lambert_human_TFs	v1.01
CIC	CIC	109	Lambert_human_TFs	v1.01
CLOCK	CLOCK	110	Lambert_human_TFs	v1.01
CPEB1	CPEB1	111	Lambert_human_TFs	v1.01
CPXCR1	CPXCR1	112	Lambert_human_TFs	v1.01
CREB1	CREB1	113	Lambert_human_TFs	v1.01
CREB3	CREB3	114	Lambert_human_TFs	v1.01
CREB3L1	CREB3L1	115	Lambert_human_TFs	v1.01
CREB3L2	CREB3L2	116	Lambert_human_TFs	v1.01
CREB3L3	CREB3L3	117	Lambert_human_TFs	v1.01
CREB3L4	CREB3L4	118	Lambert_human_TFs	v1.01
CREB5	CREB5	119	Lambert_human_TFs	v1.01
CREBL2	CREBL2	120	Lambert_human_TFs	v1.01
CREBZF	CREBZF	121	Lambert_human_TFs	v1.01
CREM	CREM	122	Lambert_human_TFs	v1.01
CRX	CRX	123	Lambert_human_TFs	v1.01
CSRNP1	CSRNP1	124	Lambert_human_TFs	v1.01
CSRNP2	CSRNP2	125	Lambert_human_TFs	v1.01
CSRNP3	CSRNP3	126	Lambert_human_TFs	v1.01
CTCF	CTCF	127	Lambert_human_TFs	v1.01
CTCFL	CTCFL	128	Lambert_human_TFs	v1.01
CUX1	CUX1	129	Lambert_human_TFs	v1.01
CUX2	CUX2	130	Lambert_human_TFs	v1.01
CXXC1	CXXC1	131	Lambert_human_TFs	v1.01
CXXC4	CXXC4	132	Lambert_human_TFs	v1.01
CXXC5	CXXC5	133	Lambert_human_TFs	v1.01
DACH1	DACH1	134	Lambert_human_TFs	v1.01
DACH2	DACH2	135	Lambert_human_TFs	v1.01
DBP	DBP	136	Lambert_human_TFs	v1.01
DBX1	DBX1	137	Lambert_human_TFs	v1.01
DBX2	DBX2	138	Lambert_human_TFs	v1.01
DDIT3	DDIT3	139	Lambert_human_TFs	v1.01
DEAF1	DEAF1	140	Lambert_human_TFs	v1.01
DLX1	DLX1	141	Lambert_human_TFs	v1.01
DLX2	DLX2	142	Lambert_human_TFs	v1.01
DLX3	DLX3	143	Lambert_human_TFs	v1.01
DLX4	DLX4	144	Lambert_human_TFs	v1.01
DLX5	DLX5	145	Lambert_human_TFs	v1.01
DLX6	DLX6	146	Lambert_human_TFs	v1.01
DMBX1	DMBX1	147	Lambert_human_TFs	v1.01
DMRT1	DMRT1	148	Lambert_human_TFs	v1.01
DMRT2	DMRT2	149	Lambert_human_TFs	v1.01
DMRT3	DMRT3	150	Lambert_human_TFs	v1.01
DMRTA1	DMRTA1	151	Lambert_human_TFs	v1.01
DMRTA2	DMRTA2	152	Lambert_human_TFs	v1.01
DMRTB1	DMRTB1	153	Lambert_human_TFs	v1.01
DMRTC2	DMRTC2	154	Lambert_human_TFs	v1.01
DMTF1	DMTF1	155	Lambert_human_TFs	v1.01
DNMT1	DNMT1	156	Lambert_human_TFs	v1.01
