tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version	rna_var_name	rna_gene_symbol	present_in_rna	included_as_tf_node	exclusion_reason
FOXO1	FOXO1	275	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXO3	FOXO3	276	Lambert_human_TFs	v1.01	FOXO3	FOXO3	True	True	
FOXO4	FOXO4	277	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXO6	FOXO6	278	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXP1	FOXP1	279	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXP2	FOXP2	280	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXP3	FOXP3	281	Lambert_human_TFs	v1.01	FOXP3	FOXP3	True	True	
FOXP4	FOXP4	282	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXQ1	FOXQ1	283	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXR1	FOXR1	284	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXR2	FOXR2	285	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXS1	FOXS1	286	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GABPA	GABPA	287	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GATA1	GATA1	288	Lambert_human_TFs	v1.01	GATA1	GATA1	True	True	
GATA2	GATA2	289	Lambert_human_TFs	v1.01	GATA2	GATA2	True	True	
GATA3	GATA3	290	Lambert_human_TFs	v1.01	GATA3	GATA3	True	True	
GATA4	GATA4	291	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GATA5	GATA5	292	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GATA6	GATA6	293	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GATAD2A	GATAD2A	294	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GATAD2B	GATAD2B	295	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GBX1	GBX1	296	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GBX2	GBX2	297	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GCM1	GCM1	298	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GCM2	GCM2	299	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GFI1	GFI1	300	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GFI1B	GFI1B	301	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLI1	GLI1	302	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLI2	GLI2	303	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLI3	GLI3	304	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLI4	GLI4	305	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLIS1	GLIS1	306	Lambert_human_TFs	v1.01	GLIS1	GLIS1	True	True	
GLIS2	GLIS2	307	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLIS3	GLIS3	308	Lambert_human_TFs	v1.01	GLIS3	GLIS3	True	True	
GLMP	GLMP	309	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GLYR1	GLYR1	310	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GMEB1	GMEB1	311	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GMEB2	GMEB2	312	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GPBP1	GPBP1	313	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GPBP1L1	GPBP1L1	314	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GRHL1	GRHL1	315	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GRHL2	GRHL2	316	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GRHL3	GRHL3	317	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GSC	GSC	318	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GSC2	GSC2	319	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GSX1	GSX1	320	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GSX2	GSX2	321	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF2B	GTF2B	322	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF2I	GTF2I	323	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF2IRD1	GTF2IRD1	324	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF2IRD2	GTF2IRD2	325	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF2IRD2B	GTF2IRD2B	326	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GTF3A	GTF3A	327	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
GZF1	GZF1	328	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HAND1	HAND1	329	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HAND2	HAND2	330	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HBP1	HBP1	331	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HDX	HDX	332	Lambert_human_TFs	v1.01	HDX	HDX	True	True	
HELT	HELT	333	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HES1	HES1	334	Lambert_human_TFs	v1.01	HES1	HES1	True	True	
HES2	HES2	335	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HES3	HES3	336	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HES4	HES4	337	Lambert_human_TFs	v1.01	HES4	HES4	True	True	
HES5	HES5	338	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HES6	HES6	339	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HES7	HES7	340	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HESX1	HESX1	341	Lambert_human_TFs	v1.01	HESX1	HESX1	True	True	
HEY1	HEY1	342	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HEY2	HEY2	343	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HEYL	HEYL	344	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HHEX	HHEX	345	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIC1	HIC1	346	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIC2	HIC2	347	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIF1A	HIF1A	348	Lambert_human_TFs	v1.01	HIF1A	HIF1A	True	True	
HIF3A	HIF3A	349	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HINFP	HINFP	350	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIVEP1	HIVEP1	351	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIVEP2	HIVEP2	352	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HIVEP3	HIVEP3	353	Lambert_human_TFs	v1.01	HIVEP3	HIVEP3	True	True	
HKR1	HKR1	354	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HLF	HLF	355	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HLX	HLX	356	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMBOX1	HMBOX1	357	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMG20A	HMG20A	358	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMG20B	HMG20B	359	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMGA1	HMGA1	360	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMGA2	HMGA2	361	Lambert_human_TFs	v1.01	HMGA2	HMGA2	True	True	
HMGN3	HMGN3	362	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMX1	HMX1	363	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMX2	HMX2	364	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HMX3	HMX3	365	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HNF1A	HNF1A	366	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HNF1B	HNF1B	367	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HNF4A	HNF4A	368	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HNF4G	HNF4G	369	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOMEZ	HOMEZ	370	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA1	HOXA1	371	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA10	HOXA10	372	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA11	HOXA11	373	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA13	HOXA13	374	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA2	HOXA2	375	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA3	HOXA3	376	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA4	HOXA4	377	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA5	HOXA5	378	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXA6	HOXA6	379	Lambert_human_TFs	v1.01	HOXA6	HOXA6	True	True	
HOXA7	HOXA7	380	Lambert_human_TFs	v1.01	HOXA7	HOXA7	True	True	
HOXA9	HOXA9	381	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB1	HOXB1	382	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB13	HOXB13	383	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB2	HOXB2	384	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB3	HOXB3	385	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB4	HOXB4	386	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB5	HOXB5	387	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB6	HOXB6	388	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB7	HOXB7	389	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB8	HOXB8	390	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXB9	HOXB9	391	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC10	HOXC10	392	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC11	HOXC11	393	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC12	HOXC12	394	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC13	HOXC13	395	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC4	HOXC4	396	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC5	HOXC5	397	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC6	HOXC6	398	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC8	HOXC8	399	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXC9	HOXC9	400	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD1	HOXD1	401	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD10	HOXD10	402	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD11	HOXD11	403	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD12	HOXD12	404	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD13	HOXD13	405	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD3	HOXD3	406	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD4	HOXD4	407	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD8	HOXD8	408	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HOXD9	HOXD9	409	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSF1	HSF1	410	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSF2	HSF2	411	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSF4	HSF4	412	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSF5	HSF5	413	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSFX1	HSFX1	414	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSFX2	HSFX2	415	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSFY1	HSFY1	416	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
HSFY2	HSFY2	417	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IKZF1	IKZF1	418	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IKZF2	IKZF2	419	Lambert_human_TFs	v1.01	IKZF2	IKZF2	True	True	
IKZF3	IKZF3	420	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IKZF4	IKZF4	421	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IKZF5	IKZF5	422	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
INSM1	INSM1	423	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
INSM2	INSM2	424	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF1	IRF1	425	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF2	IRF2	426	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF3	IRF3	427	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF4	IRF4	428	Lambert_human_TFs	v1.01	IRF4	IRF4	True	True	
IRF5	IRF5	429	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF6	IRF6	430	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRF7	IRF7	431	Lambert_human_TFs	v1.01	IRF7	IRF7	True	True	
IRF8	IRF8	432	Lambert_human_TFs	v1.01	IRF8	IRF8	True	True	
IRF9	IRF9	433	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX1	IRX1	434	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX2	IRX2	435	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX3	IRX3	436	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX4	IRX4	437	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX5	IRX5	438	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
IRX6	IRX6	439	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ISL1	ISL1	440	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ISL2	ISL2	441	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ISX	ISX	442	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
JAZF1	JAZF1	443	Lambert_human_TFs	v1.01	JAZF1	JAZF1	True	True	
JDP2	JDP2	444	Lambert_human_TFs	v1.01	JDP2	JDP2	True	True	
JRK	JRK	445	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
JRKL	JRKL	446	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
JUN	JUN	447	Lambert_human_TFs	v1.01	JUN	JUN	True	True	
JUNB	JUNB	448	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
JUND	JUND	449	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KAT7	KAT7	450	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KCMF1	KCMF1	451	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KCNIP3	KCNIP3	452	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KDM2A	KDM2A	453	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KDM2B	KDM2B	454	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KDM5B	KDM5B	455	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KIN	KIN	456	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF1	KLF1	457	Lambert_human_TFs	v1.01	KLF1	KLF1	True	True	
KLF10	KLF10	458	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF11	KLF11	459	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF12	KLF12	460	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF13	KLF13	461	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF14	KLF14	462	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF15	KLF15	463	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF16	KLF16	464	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF17	KLF17	465	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF2	KLF2	466	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF3	KLF3	467	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF4	KLF4	468	Lambert_human_TFs	v1.01	KLF4	KLF4	True	True	
KLF5	KLF5	469	Lambert_human_TFs	v1.01	KLF5	KLF5	True	True	
KLF6	KLF6	470	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF7	KLF7	471	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF8	KLF8	472	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KLF9	KLF9	473	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KMT2A	KMT2A	474	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
KMT2B	KMT2B	475	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
L3MBTL1	L3MBTL1	476	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
L3MBTL3	L3MBTL3	477	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
L3MBTL4	L3MBTL4	478	Lambert_human_TFs	v1.01	L3MBTL4	L3MBTL4	True	True	
LBX1	LBX1	479	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LBX2	LBX2	480	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LCOR	LCOR	481	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LCORL	LCORL	482	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LEF1	LEF1	483	Lambert_human_TFs	v1.01	LEF1	LEF1	True	True	
LEUTX	LEUTX	484	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX1	LHX1	485	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX2	LHX2	486	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX3	LHX3	487	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX4	LHX4	488	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX5	LHX5	489	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX6	LHX6	490	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX8	LHX8	491	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LHX9	LHX9	492	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LIN28A	LIN28A	493	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LIN28B	LIN28B	494	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LIN54	LIN54	495	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LMX1A	LMX1A	496	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LMX1B	LMX1B	497	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LTF	LTF	498	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
LYL1	LYL1	499	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAF	MAF	500	Lambert_human_TFs	v1.01	MAF	MAF	True	True	
MAFA	MAFA	501	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAFB	MAFB	502	Lambert_human_TFs	v1.01	MAFB	MAFB	True	True	
MAFF	MAFF	503	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAFG	MAFG	504	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAFK	MAFK	505	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAX	MAX	506	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MAZ	MAZ	507	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBD1	MBD1	508	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBD2	MBD2	509	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBD3	MBD3	510	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBD4	MBD4	511	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBD6	MBD6	512	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MBNL2	MBNL2	513	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MECOM	MECOM	514	Lambert_human_TFs	v1.01	MECOM	MECOM	True	True	
MECP2	MECP2	515	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEF2A	MEF2A	516	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEF2B	MEF2B	517	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEF2C	MEF2C	518	Lambert_human_TFs	v1.01	MEF2C	MEF2C	True	True	
MEF2D	MEF2D	519	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEIS1	MEIS1	520	Lambert_human_TFs	v1.01	MEIS1	MEIS1	True	True	
MEIS2	MEIS2	521	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEIS3	MEIS3	522	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEOX1	MEOX1	523	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MEOX2	MEOX2	524	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MESP1	MESP1	525	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MESP2	MESP2	526	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MGA	MGA	527	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MITF	MITF	528	Lambert_human_TFs	v1.01	MITF	MITF	True	True	
MIXL1	MIXL1	529	Lambert_human_TFs	v1.01	MIXL1	MIXL1	True	True	
MKX	MKX	530	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MLX	MLX	531	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MLXIP	MLXIP	532	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MLXIPL	MLXIPL	533	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MNT	MNT	534	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MNX1	MNX1	535	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSANTD1	MSANTD1	536	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSANTD3	MSANTD3	537	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSANTD4	MSANTD4	538	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSC	MSC	539	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSGN1	MSGN1	540	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSX1	MSX1	541	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MSX2	MSX2	542	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTERF1	MTERF1	543	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTERF2	MTERF2	544	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTERF3	MTERF3	545	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTERF4	MTERF4	546	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTF1	MTF1	547	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MTF2	MTF2	548	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MXD1	MXD1	549	Lambert_human_TFs	v1.01	MXD1	MXD1	True	True	
MXD3	MXD3	550	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MXD4	MXD4	551	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MXI1	MXI1	552	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
MYB	MYB	553	Lambert_human_TFs	v1.01	MYB	MYB	True	True	
MYBL1	MYBL1	554	Lambert_human_TFs	v1.01	MYBL1	MYBL1	True	True	
MYBL2	MYBL2	555	Lambert_human_TFs	v1.01	MYBL2	MYBL2	True	True	
MYC	MYC	556	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
