tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version	rna_var_name	rna_gene_symbol	present_in_rna	included_as_tf_node	exclusion_reason
BAZ2B	BAZ2B	63	Lambert_human_TFs	v1.01	BAZ2B	BAZ2B	True	True	
BBX	BBX	64	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BCL11A	BCL11A	65	Lambert_human_TFs	v1.01	BCL11A	BCL11A	True	True	
BCL11B	BCL11B	66	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BCL6	BCL6	67	Lambert_human_TFs	v1.01	BCL6	BCL6	True	True	
BCL6B	BCL6B	68	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHA15	BHLHA15	69	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHA9	BHLHA9	70	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHE22	BHLHE22	71	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHE23	BHLHE23	72	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHE40	BHLHE40	73	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BHLHE41	BHLHE41	74	Lambert_human_TFs	v1.01	BHLHE41	BHLHE41	True	True	
BNC1	BNC1	75	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BNC2	BNC2	76	Lambert_human_TFs	v1.01	BNC2	BNC2	True	True	
BORCS8-MEF2B	BORCS8-MEF2B	77	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BPTF	BPTF	78	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BRF2	BRF2	79	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
BSX	BSX	80	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
C11ORF95	C11orf95	81	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CAMTA1	CAMTA1	82	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CAMTA2	CAMTA2	83	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CARF	CARF	84	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CASZ1	CASZ1	85	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CBX2	CBX2	86	Lambert_human_TFs	v1.01	CBX2	CBX2	True	True	
CC2D1A	CC2D1A	87	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CCDC169-SOHLH2	CCDC169-SOHLH2	88	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CCDC17	CCDC17	89	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CDC5L	CDC5L	90	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CDX1	CDX1	91	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CDX2	CDX2	92	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CDX4	CDX4	93	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CEBPA	CEBPA	94	Lambert_human_TFs	v1.01	CEBPA	CEBPA	True	True	
CEBPB	CEBPB	95	Lambert_human_TFs	v1.01	CEBPB	CEBPB	True	True	
CEBPD	CEBPD	96	Lambert_human_TFs	v1.01	CEBPD	CEBPD	True	True	
CEBPE	CEBPE	97	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CEBPG	CEBPG	98	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CEBPZ	CEBPZ	99	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPA	CENPA	100	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPB	CENPB	101	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPBD1	CENPBD1	102	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPS	CENPS	103	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPT	CENPT	104	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CENPX	CENPX	105	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CGGBP1	CGGBP1	106	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CHAMP1	CHAMP1	107	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CHCHD3	CHCHD3	108	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CIC	CIC	109	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CLOCK	CLOCK	110	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CPEB1	CPEB1	111	Lambert_human_TFs	v1.01	CPEB1	CPEB1	True	True	
CPXCR1	CPXCR1	112	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB1	CREB1	113	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB3	CREB3	114	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB3L1	CREB3L1	115	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB3L2	CREB3L2	116	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB3L3	CREB3L3	117	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB3L4	CREB3L4	118	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREB5	CREB5	119	Lambert_human_TFs	v1.01	CREB5	CREB5	True	True	
CREBL2	CREBL2	120	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREBZF	CREBZF	121	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CREM	CREM	122	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CRX	CRX	123	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CSRNP1	CSRNP1	124	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CSRNP2	CSRNP2	125	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CSRNP3	CSRNP3	126	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CTCF	CTCF	127	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CTCFL	CTCFL	128	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CUX1	CUX1	129	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CUX2	CUX2	130	Lambert_human_TFs	v1.01	CUX2	CUX2	True	True	
CXXC1	CXXC1	131	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CXXC4	CXXC4	132	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
CXXC5	CXXC5	133	Lambert_human_TFs	v1.01	CXXC5	CXXC5	True	True	
DACH1	DACH1	134	Lambert_human_TFs	v1.01	DACH1	DACH1	True	True	
DACH2	DACH2	135	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DBP	DBP	136	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DBX1	DBX1	137	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DBX2	DBX2	138	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DDIT3	DDIT3	139	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DEAF1	DEAF1	140	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX1	DLX1	141	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX2	DLX2	142	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX3	DLX3	143	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX4	DLX4	144	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX5	DLX5	145	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DLX6	DLX6	146	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMBX1	DMBX1	147	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRT1	DMRT1	148	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRT2	DMRT2	149	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRT3	DMRT3	150	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRTA1	DMRTA1	151	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRTA2	DMRTA2	152	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRTB1	DMRTB1	153	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMRTC2	DMRTC2	154	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DMTF1	DMTF1	155	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DNMT1	DNMT1	156	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DNTTIP1	DNTTIP1	157	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DOT1L	DOT1L	158	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DPF1	DPF1	159	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DPF3	DPF3	160	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DPRX	DPRX	161	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DR1	DR1	162	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DRAP1	DRAP1	163	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DRGX	DRGX	164	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DUX1	DUX1	165	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DUX3	DUX3	166	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DUX4	DUX4	167	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DUXA	DUXA	168	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
DZIP1	DZIP1	169	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
E2F1	E2F1	170	Lambert_human_TFs	v1.01	E2F1	E2F1	True	True	
E2F2	E2F2	171	Lambert_human_TFs	v1.01	E2F2	E2F2	True	True	
E2F3	E2F3	172	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
E2F4	E2F4	173	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
E2F5	E2F5	174	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
E2F6	E2F6	175	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
E2F7	E2F7	176	Lambert_human_TFs	v1.01	E2F7	E2F7	True	True	
E2F8	E2F8	177	Lambert_human_TFs	v1.01	E2F8	E2F8	True	True	
E4F1	E4F1	178	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EBF1	EBF1	179	Lambert_human_TFs	v1.01	EBF1	EBF1	True	True	
EBF2	EBF2	180	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EBF3	EBF3	181	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EBF4	EBF4	182	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EEA1	EEA1	183	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
