tf_index	tf_symbol	rna_var_name	catalogue_index	reference_name	reference_version
102	PRDM5	PRDM5	737	Lambert_human_TFs	v1.01
103	RFX2	RFX2	771	Lambert_human_TFs	v1.01
104	RFX8	RFX8	777	Lambert_human_TFs	v1.01
105	RORA	RORA	782	Lambert_human_TFs	v1.01
106	RUNX2	RUNX2	787	Lambert_human_TFs	v1.01
107	RXRA	RXRA	789	Lambert_human_TFs	v1.01
108	SCMH1	SCMH1	800	Lambert_human_TFs	v1.01
109	SETBP1	SETBP1	806	Lambert_human_TFs	v1.01
110	SIM2	SIM2	813	Lambert_human_TFs	v1.01
111	SMAD1	SMAD1	825	Lambert_human_TFs	v1.01
112	SMYD3	SMYD3	830	Lambert_human_TFs	v1.01
113	SOX10	SOX10	841	Lambert_human_TFs	v1.01
114	SOX4	SOX4	853	Lambert_human_TFs	v1.01
115	SOX5	SOX5	854	Lambert_human_TFs	v1.01
116	SPI1	SPI1	874	Lambert_human_TFs	v1.01
117	SPIB	SPIB	875	Lambert_human_TFs	v1.01
118	ST18	ST18	883	Lambert_human_TFs	v1.01
119	STAT4	STAT4	887	Lambert_human_TFs	v1.01
120	TAL1	TAL1	892	Lambert_human_TFs	v1.01
121	TBX21	TBX21	905	Lambert_human_TFs	v1.01
122	TCF4	TCF4	918	Lambert_human_TFs	v1.01
123	TCF7L1	TCF7L1	920	Lambert_human_TFs	v1.01
124	TCF7L2	TCF7L2	921	Lambert_human_TFs	v1.01
125	TET2	TET2	932	Lambert_human_TFs	v1.01
126	TET3	TET3	933	Lambert_human_TFs	v1.01
127	TFDP2	TFDP2	943	Lambert_human_TFs	v1.01
128	TFEC	TFEC	947	Lambert_human_TFs	v1.01
129	THRB	THRB	965	Lambert_human_TFs	v1.01
130	TP63	TP63	980	Lambert_human_TFs	v1.01
131	TRPS1	TRPS1	985	Lambert_human_TFs	v1.01
132	TSHZ2	TSHZ2	988	Lambert_human_TFs	v1.01
133	TSHZ3	TSHZ3	989	Lambert_human_TFs	v1.01
134	VDR	VDR	1000	Lambert_human_TFs	v1.01
135	XBP1	XBP1	1007	Lambert_human_TFs	v1.01
136	YBX3	YBX3	1011	Lambert_human_TFs	v1.01
137	ZBTB16	ZBTB16	1026	Lambert_human_TFs	v1.01
138	ZBTB46	ZBTB46	1050	Lambert_human_TFs	v1.01
139	ZEB2	ZEB2	1064	Lambert_human_TFs	v1.01
140	ZFAT	ZFAT	1065	Lambert_human_TFs	v1.01
141	ZFHX3	ZFHX3	1067	Lambert_human_TFs	v1.01
142	ZFP64	ZFP64	1080	Lambert_human_TFs	v1.01
143	ZMAT4	ZMAT4	1112	Lambert_human_TFs	v1.01
144	ZNF16	ZNF16	1140	Lambert_human_TFs	v1.01
145	ZNF235	ZNF235	1185	Lambert_human_TFs	v1.01
146	ZNF331	ZNF331	1241	Lambert_human_TFs	v1.01
147	ZNF365	ZNF365	1261	Lambert_human_TFs	v1.01
148	ZNF366	ZNF366	1262	Lambert_human_TFs	v1.01
149	ZNF385D	ZNF385D	1271	Lambert_human_TFs	v1.01
150	ZNF438	ZNF438	1301	Lambert_human_TFs	v1.01
151	ZNF462	ZNF462	1317	Lambert_human_TFs	v1.01
152	ZNF503	ZNF503	1343	Lambert_human_TFs	v1.01
153	ZNF521	ZNF521	1357	Lambert_human_TFs	v1.01
154	ZNF532	ZNF532	1365	Lambert_human_TFs	v1.01
155	ZNF608	ZNF608	1428	Lambert_human_TFs	v1.01
156	ZNF676	ZNF676	1473	Lambert_human_TFs	v1.01
157	ZNF683	ZNF683	1480	Lambert_human_TFs	v1.01
158	ZNF695	ZNF695	1488	Lambert_human_TFs	v1.01
159	ZNF703	ZNF703	1496	Lambert_human_TFs	v1.01
160	ZNF710	ZNF710	1508	Lambert_human_TFs	v1.01
161	ZNF713	ZNF713	1510	Lambert_human_TFs	v1.01
162	ZNF80	ZNF80	1569	Lambert_human_TFs	v1.01
163	ZNF804A	ZNF804A	1571	Lambert_human_TFs	v1.01
164	ZNF821	ZNF821	1579	Lambert_human_TFs	v1.01
165	ZSCAN5A	ZSCAN5A	1630	Lambert_human_TFs	v1.01
