leiden_0_6,celltypist_majority_voting,n_cells,cluster_n_cells,fraction_in_cluster
8,Classical monocytes,0,277,0.0
8,DC2,0,277,0.0
8,HSC/MPP,0,277,0.0
8,MAIT cells,0,277,0.0
8,Memory B cells,0,277,0.0
8,Non-classical monocytes,0,277,0.0
8,Plasma cells,0,277,0.0
8,Regulatory T cells,0,277,0.0
8,Tcm/Naive cytotoxic T cells,0,277,0.0
8,Tcm/Naive helper T cells,0,277,0.0
8,Tem/Effector helper T cells,0,277,0.0
8,Tem/Temra cytotoxic T cells,0,277,0.0
8,Tem/Trm cytotoxic T cells,0,277,0.0
8,pDC,0,277,0.0
9,DC2,147,169,0.8698224852071006
9,Classical monocytes,22,169,0.1301775147928994
9,Age-associated B cells,0,169,0.0
9,CD16+ NK cells,0,169,0.0
9,CD8a/a,0,169,0.0
9,HSC/MPP,0,169,0.0
9,MAIT cells,0,169,0.0
9,Memory B cells,0,169,0.0
9,Naive B cells,0,169,0.0
9,Non-classical monocytes,0,169,0.0
9,Plasma cells,0,169,0.0
9,Regulatory T cells,0,169,0.0
9,Tcm/Naive cytotoxic T cells,0,169,0.0
9,Tcm/Naive helper T cells,0,169,0.0
9,Tem/Effector helper T cells,0,169,0.0
9,Tem/Temra cytotoxic T cells,0,169,0.0
9,Tem/Trm cytotoxic T cells,0,169,0.0
9,pDC,0,169,0.0
10,MAIT cells,116,118,0.9830508474576272
10,Tem/Temra cytotoxic T cells,2,118,0.01694915254237288
10,Age-associated B cells,0,118,0.0
10,CD16+ NK cells,0,118,0.0
10,CD8a/a,0,118,0.0
10,Classical monocytes,0,118,0.0
10,DC2,0,118,0.0
10,HSC/MPP,0,118,0.0
10,Memory B cells,0,118,0.0
10,Naive B cells,0,118,0.0
10,Non-classical monocytes,0,118,0.0
10,Plasma cells,0,118,0.0
10,Regulatory T cells,0,118,0.0
10,Tcm/Naive cytotoxic T cells,0,118,0.0
10,Tcm/Naive helper T cells,0,118,0.0
10,Tem/Effector helper T cells,0,118,0.0
10,Tem/Trm cytotoxic T cells,0,118,0.0
10,pDC,0,118,0.0
11,pDC,95,95,1.0
11,Age-associated B cells,0,95,0.0
11,CD16+ NK cells,0,95,0.0
11,CD8a/a,0,95,0.0
11,Classical monocytes,0,95,0.0
11,DC2,0,95,0.0
11,HSC/MPP,0,95,0.0
11,MAIT cells,0,95,0.0
11,Memory B cells,0,95,0.0
11,Naive B cells,0,95,0.0
11,Non-classical monocytes,0,95,0.0
11,Plasma cells,0,95,0.0
11,Regulatory T cells,0,95,0.0
11,Tcm/Naive cytotoxic T cells,0,95,0.0
11,Tcm/Naive helper T cells,0,95,0.0
11,Tem/Effector helper T cells,0,95,0.0
11,Tem/Temra cytotoxic T cells,0,95,0.0
11,Tem/Trm cytotoxic T cells,0,95,0.0
12,HSC/MPP,19,19,1.0
12,Age-associated B cells,0,19,0.0
12,CD16+ NK cells,0,19,0.0
12,CD8a/a,0,19,0.0
12,Classical monocytes,0,19,0.0
12,DC2,0,19,0.0
12,MAIT cells,0,19,0.0
12,Memory B cells,0,19,0.0
12,Naive B cells,0,19,0.0
