pc,variance,variance_ratio,cumulative_variance_ratio
1,187.30370173792625,0.08518515906724773,0.08518515906724773
2,53.147827977596386,0.02417147199090051,0.10935663105814825
3,35.51443544943386,0.016151858211411664,0.1255084892695599
4,29.411495563122557,0.013376259543742561,0.13888474881330246
5,24.41595943976051,0.011104304770044612,0.14998905358334708
6,12.330931850305854,0.005608070643395098,0.15559712422674218
7,9.874956289504848,0.004491100359994959,0.16008822458673713
8,6.956070304170748,0.003163599810605131,0.16325182439734226
9,6.683132725379845,0.003039468622331746,0.16629129301967402
10,6.441044680111819,0.0029293677089323386,0.16922066072860636
11,5.954857874506007,0.002708251414979553,0.1719289121435859
12,5.195244092377502,0.002362781356139878,0.17429169349972579
13,5.121041024433292,0.002329034024467012,0.1766207275241928
14,4.6741529146196825,0.002125790658924783,0.1787465181831176
15,4.507870715172953,0.0020501660157463976,0.180796684198864
16,4.018168837797548,0.0018274510777462852,0.18262413527661028
17,3.8388951298966236,0.0017459179356758565,0.18437005321228614
18,3.7767490457654778,0.0017176540839046544,0.18608770729619079
19,3.592690775096443,0.001633944937106679,0.18772165223329745
20,3.265899096305527,0.0014853210664551126,0.18920697329975256
21,2.90921411624003,0.0013231018124742657,0.19053007511222683
22,2.7561704235315267,0.0012534980022631138,0.19178357311448996
23,2.6355744213194163,0.001198651303901078,0.19298222441839102
24,2.5978501572251576,0.0011814944222818312,0.19416371884067285
25,2.54538089509588,0.0011576315599937303,0.1953213504006666
26,2.4409079500424182,0.0011101175794368744,0.19643146798010347
27,2.3573092929088144,0.0010720971621164602,0.19750356514221992
28,2.263600413065635,0.0010294786459772328,0.19853304378819717
29,2.2477650040727433,0.0010222767496909447,0.1995553205378881
30,2.1309032949271667,0.0009691283965614098,0.2005244489344495
31,2.085351806402722,0.0009484117168604714,0.20147286065130998
32,2.043913042155295,0.0009295654917660717,0.20240242614307605
33,1.9949163455467545,0.0009072819418114203,0.20330970808488746
34,1.9854378511116477,0.0009029711511079758,0.20421267923599545
35,1.948324717717134,0.0008860922098891889,0.20509877144588465
36,1.9298422233092924,0.0008776864271337877,0.20597645787301844
37,1.9154147373019894,0.0008711248499782426,0.2068475827229967
38,1.8944324351552733,0.0008615821621969517,0.20770916488519364
39,1.8820664756103431,0.0008559581610636056,0.20856512304625724
40,1.8757037281199602,0.0008530644026805952,0.20941818744893784
41,1.863884472489391,0.0008476890408398813,0.2102658764897777
42,1.8550538444133815,0.0008436728978040586,0.21110954938758178
43,1.845278316343757,0.0008392270170988152,0.2119487764046806
44,1.841054051960383,0.0008373058343880576,0.21278608223906867
45,1.8363831732510618,0.000835181532827835,0.2136212637718965
46,1.8269381770624429,0.0008308859770259384,0.21445214974892243
47,1.8186900597285929,0.0008271347581201186,0.21527928450704256
48,1.8117882145949518,0.0008239958197536503,0.2161032803267962
49,1.8070273575712386,0.0008218305963272126,0.21692511092312342
50,1.8047616798315598,0.0008208001729193522,0.21774591109604277
