metric,count,mean,std,min,25%,50%,75%,max
total_counts,11898.0,4407.349609375,2529.995849609375,36.0,2921.0,3777.5,5244.0,89927.0
n_genes_by_counts,11898.0,1976.1809547823163,734.7954106325258,21.0,1518.0,1826.5,2315.0,10880.0
pct_counts_mt,11898.0,10.265495300292969,4.47648286819458,0.0,7.581365346908569,9.747345924377441,12.259175300598145,69.44444274902344
