metric,q01,q05,q10,q25,q50,q75,q90,q95,q99
total_counts,718.0,1919.0,2305.4,2921.0,3777.5,5244.0,7287.600000000002,8957.599999999999,12624.400000000052
n_genes_by_counts,453.97,1066.85,1255.0,1518.0,1826.5,2315.0,2951.300000000001,3383.2999999999993,4215.3900000000085
pct_counts_mt,2.5287029504776,4.835381245613098,5.84763617515564,7.581365346908569,9.747345924377441,12.259175300598145,14.825109958648682,16.655860996246332,25.231857624054076
