quantile,atac_fragments,matrix_total_counts,matrix_n_accessible_peaks,atac_frip,atac_tss_fragment_fraction,atac_mitochondrial_fraction,atac_duplicate_fraction,atac_lowmapq_fraction
0.0,100.0,96.0,49.0,0.18067283567593817,0.13663096554887097,0.0,0.14896629849900878,0.021220159151193633
0.01,520.76,710.76,365.0,0.38537592929777587,0.2815380819334113,0.0,0.3128948606737553,0.04721226662979238
0.02,787.2000000000002,1082.76,547.0,0.4995729633371955,0.34931388851417944,0.0,0.32873246634410724,0.04900774751440243
0.05,1971.2,2648.5,1359.3,0.5956454779611344,0.4076943893633219,0.0,0.3483581848964636,0.05163038142098466
0.1,5003.2,6698.2,3207.6,0.658809340008322,0.4330982729900264,8.418645360148073e-05,0.36200349297290885,0.05374839315809211
0.25,12855.5,17407.0,7115.5,0.6946055001131277,0.4581954904604503,0.0003810357950625572,0.3795470149486627,0.05824371155025141
0.5,17034.0,22717.0,8792.0,0.7174323473882945,0.5616800677105375,0.0013060642939831993,0.391304347826087,0.06567070458648387
0.75,20120.5,26189.0,10157.5,0.7386230745365377,0.594793209550007,0.004096921961381607,0.40066321808258293,0.07715216911278949
0.9,24221.800000000003,30175.000000000004,11765.400000000001,0.7585045215574512,0.6172053212892245,0.019722304473780282,0.40861573032976073,0.08866033046058505
0.95,29826.399999999987,34410.49999999999,13198.8,0.7711701208760045,0.6311843289511943,0.04485531335941916,0.413491683080177,0.09651609006365869
0.98,38826.0,45445.16,15157.679999999998,0.7846969975911532,0.64694791762102,0.07647278111329539,0.41973519556194405,0.1058913973017589
0.99,46121.07999999999,52464.19999999999,17418.86,0.7937988184401444,0.6568149842196782,0.09622036765509562,0.4239400282707793,0.11518858831084702
1.0,238031.0,91230.0,29662.0,0.87,0.7175572519083969,0.44204533247394995,0.4498714652956298,0.3022113022113022
