cluster,CD3D,CD3E,CD3G,TRAC,CD4,IL7R,CCR7,LTB,TCF7,LEF1,MAL,NOSIP,CD8A,CD8B,CCL5,GZMK,LINC02446,NKG7,GNLY,PRF1,GZMB,CTSW,KLRD1,KLRF1,TYROBP,FCGR3A,MS4A1,CD79A,CD79B,BANK1,CD74,HLA-DRA,CD37,TCL1A,IGHD,IL4R,FCER2,IGHM,CD27,AIM2,TNFRSF13B,GPR183,CD82,MZB1,JCHAIN,XBP1,SDC1,IGHG1,IGHG3,LYZ,LST1,AIF1,FCER1G,CTSS,S100A8,S100A9,FCN1,CD14,CTSD,VCAN,MS4A7,IFITM3,LILRB1,FCER1A,CST3,CLEC10A,CD1C,HLA-DPA1,IRF7,IL3RA,TCF4,CLEC4C,NRGN,RGS18,MKI67,TOP2A,STMN1,TYMS,UBE2C,ISG15,IFIT1,IFIT2,IFIT3,IFI6,MX1,FOS,JUN,JUNB,DUSP1,HSPA1A,HSPA1B
0,9.7165991902834,3.279352226720648,2.4696356275303644,6.680161943319838,41.17408906882591,5.101214574898785,1.0931174089068825,18.74493927125506,5.222672064777328,2.145748987854251,1.7004048582995952,14.979757085020243,0.8502024291497976,1.9838056680161944,10.040485829959515,0.8502024291497976,1.1336032388663968,14.5748987854251,16.39676113360324,1.214574898785425,1.7813765182186234,2.348178137651822,2.348178137651822,0.688259109311741,73.7246963562753,9.190283400809717,0.931174089068826,2.186234817813765,2.42914979757085,11.821862348178138,97.24696356275304,89.7165991902834,44.69635627530364,1.1336032388663968,0.3643724696356275,27.732793522267208,4.251012145748987,4.615384615384616,2.186234817813765,13.724696356275304,0.04048582995951417,9.595141700404858,11.093117408906883,0.7692307692307693,3.4412955465587043,33.036437246963565,0.0,0.688259109311741,0.4048582995951417,96.47773279352226,51.37651821862348,65.58704453441295,60.89068825910932,96.5991902834008,88.70445344129556,93.48178137651821,98.34008097165992,56.76113360323887,55.587044534412954,94.29149797570851,33.603238866396765,42.63157894736842,35.78947368421053,0.44534412955465585,74.81781376518218,4.8582995951417,1.6194331983805668,49.27125506072875,29.797570850202433,17.125506072874494,27.692307692307693,0.5263157894736842,17.327935222672064,37.449392712550605,0.16194331983805668,0.32388663967611336,0.8502024291497976,0.24291497975708504,0.0,39.959514170040485,12.024291497975709,31.214574898785425,33.84615384615385,44.089068825910935,53.886639676113354,99.51417004048582,82.22672064777328,78.70445344129556,96.2753036437247,20.647773279352226,5.101214574898785
1,59.659424544920725,48.326482677627716,44.68584850264239,74.69172049324722,31.06283029947152,78.56723429242514,70.99236641221374,83.14738696418085,79.33059307105108,89.66529653552554,46.388725778038754,60.540223135642975,2.3487962419260127,3.464474456840869,6.635349383440986,0.7046388725778039,1.7028772753963595,11.156782149148562,12.859659424544919,4.227833235466823,1.8203170874926602,9.512624779800353,0.8807985907222547,0.8807985907222547,18.2031708749266,2.9947152084556663,0.7633587786259541,2.9947152084556663,6.2243100411039345,1.2331180270111568,50.792718731650034,24.662360540223137,43.04169113329419,0.7046388725778039,0.5284791544333529,22.959483264826776,0.35231943628890194,3.992953611274222,37.404580152671755,0.5871990604815032,0.0,23.66412213740458,7.574867880211392,0.5871990604815032,2.701115678214915,28.068115091015855,0.0,0.5284791544333529,0.4110393423370522,49.73576042278333,11.685261303581914,25.66059894304169,10.74574280681151,44.56840869054609,50.910158543746334,62.360540223135644,15.149735760422784,6.987668819729888,17.968291250733998,13.681738109219024,1.7615971814445095,13.623018203170876,0.9982384028185555,0.7046388725778039,22.842043452730476,0.23487962419260128,0.46975924838520255,12.68349970640047,8.455666470933647,8.631826189078097,1.7615971814445095,0.11743981209630064,1.4092777451556078,2.1139166177334117,0.05871990604815032,0.17615971814445097,8.279506752789196,1.4679976512037582,0.05871990604815032,20.904286553141517,3.69935408103347,4.521432765707575,4.9911920140927775,17.322372284204345,18.027011156782148,51.08631826189078,48.03288314738696,67.17557251908397,35.290663534938346,4.345273047563124,1.5267175572519083
2,72.01277955271566,58.2108626198083,52.77955271565495,83.3226837060703,36.805111821086264,85.94249201277955,35.14376996805112,92.1405750798722,69.58466453674122,69.77635782747605,40.95846645367412,57.25239616613419,3.8338658146964857,4.664536741214057,18.594249201277954,8.115015974440896,1.6613418530351438,13.418530351437699,12.651757188498403,7.987220447284344,2.1725239616613417,16.23003194888179,2.0447284345047922,0.6389776357827476,16.549520766773163,2.2364217252396164,0.7667731629392971,2.4920127795527156,9.073482428115016,1.5974440894568689,59.61661341853035,26.389776357827476,51.629392971246006,0.7667731629392971,0.38338658146964855,24.089456869009584,0.6389776357827476,4.15335463258786,31.82108626198083,3.1309904153354635,0.06389776357827476,37.06070287539936,30.287539936102238,1.1501597444089458,2.747603833865815,40.319488817891376,0.0,0.5750798722044729,0.19169329073482427,46.0702875399361,16.61341853035144,19.936102236421725,9.840255591054312,50.159744408945684,44.79233226837061,59.68051118210863,13.035143769968052,5.431309904153355,19.10543130990415,12.140575079872203,2.0447284345047922,12.907348242811501,0.8945686900958467,0.06389776357827476,23.769968051118212,0.5750798722044729,0.3194888178913738,17.06070287539936,10.73482428115016,6.198083067092652,1.0223642172523961,0.06389776357827476,0.8306709265175719,1.7891373801916934,0.7028753993610224,0.6389776357827476,5.431309904153355,1.0223642172523961,0.12779552715654952,33.86581469648562,4.664536741214057,4.792332268370607,6.773162939297124,23.067092651757186,24.15335463258786,69.77635782747605,71.11821086261982,78.14696485623003,60.95846645367412,14.185303514376995,4.217252396166135
3,72.03626220362622,59.20502092050209,54.39330543933054,79.49790794979079,2.580195258019526,87.30822873082286,79.07949790794979,85.14644351464436,83.82147838214784,96.51324965132495,43.23570432357043,70.29288702928869,61.29707112970711,71.96652719665272,7.949790794979079,1.1854951185495117,43.793584379358435,10.669456066945607,12.412831241283124,9.832635983263598,1.9525801952580195,42.67782426778243,1.1157601115760112,0.2789400278940028,17.503486750348678,3.2775453277545328,0.906555090655509,10.1115760111576,4.184100418410042,1.4644351464435146,54.88145048814504,27.19665271966527,43.44490934449093,0.697350069735007,0.41841004184100417,14.504881450488144,0.41841004184100417,4.184100418410042,47.35006973500697,0.3486750348675035,0.0,4.184100418410042,3.556485355648536,0.9762900976290098,2.510460251046025,23.779637377963738,0.0,0.9762900976290098,0.3486750348675035,46.79218967921897,13.598326359832635,30.055788005578798,17.433751743375176,45.95536959553696,46.86192468619247,58.22873082287309,12.97071129707113,6.97350069735007,20.711297071129707,11.785216178521619,2.6499302649930265,15.760111576011157,1.1157601115760112,0.4881450488145049,22.245467224546722,0.20920502092050208,0.2789400278940028,13.04044630404463,8.368200836820083,9.832635983263598,1.882845188284519,0.0697350069735007,1.5341701534170153,1.5341701534170153,0.0,0.1394700139470014,11.85495118549512,0.7670850767085077,0.0697350069735007,22.10599721059972,3.905160390516039,4.323570432357044,3.2775453277545328,19.107391910739192,15.969316596931659,57.182705718270576,58.57740585774059,75.87168758716875,44.90934449093445,3.695955369595537,0.7670850767085077
4,74.96688741721854,58.675496688741724,55.2317880794702,69.93377483443709,6.0927152317880795,37.615894039735096,4.768211920529802,42.78145695364238,37.48344370860927,19.735099337748345,4.370860927152318,26.75496688741722,53.50993377483444,39.33774834437086,97.08609271523179,29.5364238410596,14.039735099337749,88.74172185430463,71.3907284768212,66.49006622516556,30.198675496688743,69.93377483443709,55.62913907284768,15.62913907284768,27.947019867549667,28.344370860927153,1.9867549668874174,1.7218543046357615,4.370860927152318,0.9271523178807948,63.97350993377483,27.019867549668874,46.88741721854305,0.5298013245033113,0.5298013245033113,11.390728476821192,0.9271523178807948,4.768211920529802,17.218543046357617,1.9867549668874174,0.0,11.258278145695364,8.211920529801324,1.7218543046357615,3.1788079470198674,44.63576158940397,0.0,0.9271523178807948,0.13245033112582782,49.5364238410596,11.125827814569536,18.14569536423841,12.847682119205297,48.87417218543047,49.5364238410596,60.79470198675496,13.245033112582782,7.549668874172186,28.874172185430464,13.774834437086092,2.6490066225165565,12.71523178807947,16.821192052980134,0.0,25.165562913907287,0.26490066225165565,0.13245033112582782,31.65562913907285,9.006622516556291,2.5165562913907285,1.5894039735099337,0.3973509933774834,0.7947019867549668,0.6622516556291391,0.3973509933774834,0.26490066225165565,6.0927152317880795,1.0596026490066226,0.0,33.11258278145696,2.781456953642384,5.827814569536424,4.503311258278146,20.264900662251655,13.37748344370861,50.46357615894039,60.66225165562914,64.10596026490066,48.47682119205298,9.403973509933774,2.251655629139073
5,13.126491646778044,26.25298329355609,7.637231503579953,10.978520286396181,4.295942720763723,7.159904534606206,2.6252983293556085,21.479713603818613,13.60381861575179,9.069212410501192,2.386634844868735,27.923627684964202,13.126491646778044,4.05727923627685,80.42959427207637,4.534606205250596,1.6706443914081146,97.13603818615752,98.32935560859188,96.18138424821002,75.65632458233891,85.68019093078759,85.68019093078759,77.08830548926015,88.3054892601432,70.64439140811456,1.6706443914081146,2.386634844868735,6.921241050119331,0.7159904534606205,60.381861575178995,28.400954653937948,44.1527446300716,0.47732696897374705,0.0,10.023866348448687,0.47732696897374705,3.8186157517899764,3.8186157517899764,1.431980906921241,0.0,5.966587112171838,0.9546539379474941,0.9546539379474941,2.6252983293556085,69.4510739856802,0.0,0.47732696897374705,0.23866348448687352,49.16467780429594,13.126491646778044,21.241050119331742,73.50835322195705,49.88066825775656,47.49403341288782,61.336515513126486,17.899761336515514,9.54653937947494,58.94988066825776,13.126491646778044,0.47732696897374705,41.766109785202865,10.501193317422434,0.23866348448687352,27.20763723150358,0.23866348448687352,0.7159904534606205,15.035799522673033,13.842482100238662,2.386634844868735,7.159904534606206,0.23866348448687352,1.6706443914081146,1.431980906921241,5.011933174224343,3.341288782816229,10.501193317422434,5.250596658711217,1.431980906921241,39.618138424821005,2.863961813842482,10.26252983293556,8.591885441527445,25.059665871121716,18.377088305489263,56.56324582338902,53.46062052505967,51.551312649164686,42.720763723150355,11.455847255369928,2.386634844868735
6,10.610079575596817,4.774535809018567,2.9177718832891246,10.344827586206897,3.4482758620689653,6.896551724137931,36.339522546419104,89.65517241379311,18.56763925729443,3.4482758620689653,3.978779840848806,19.098143236074268,1.3262599469496021,1.3262599469496021,6.896551724137931,2.122015915119363,2.3872679045092835,13.527851458885943,15.915119363395224,1.3262599469496021,2.9177718832891246,3.978779840848806,2.3872679045092835,1.0610079575596816,18.83289124668435,5.305039787798409,97.08222811671088,91.24668435013263,83.55437665782493,100.0,99.73474801061008,98.40848806366049,91.51193633952255,2.122015915119363,45.88859416445623,11.936339522546419,40.84880636604775,72.94429708222812,25.72944297082228,50.397877984084886,25.9946949602122,42.97082228116711,54.64190981432361,18.83289124668435,26.790450928381965,11.140583554376658,0.0,29.44297082228117,20.954907161803714,49.07161803713528,11.405835543766578,24.6684350132626,12.73209549071618,78.77984084880637,54.37665782493368,67.63925729442971,13.527851458885943,8.222811671087534,9.549071618037134,12.46684350132626,6.36604774535809,10.875331564986737,27.851458885941643,0.0,28.381962864721483,0.7957559681697612,17.771883289124666,87.79840848806366,19.363395225464192,7.427055702917771,72.94429708222812,0.0,3.183023872679045,1.0610079575596816,0.0,0.0,5.039787798408488,0.5305039787798408,0.0,22.281167108753316,4.244031830238726,8.753315649867375,9.549071618037134,14.854111405835543,32.62599469496021,52.785145888594165,65.51724137931035,70.026525198939,54.64190981432361,4.774535809018567,5.039787798408488
7,11.9533527696793,4.956268221574344,2.0408163265306123,9.620991253644315,65.59766763848397,4.956268221574344,2.0408163265306123,61.224489795918366,7.871720116618077,2.623906705539359,2.3323615160349855,25.65597667638484,1.1661807580174928,2.623906705539359,9.620991253644315,2.0408163265306123,1.749271137026239,20.408163265306122,15.160349854227405,1.4577259475218658,3.206997084548105,4.081632653061225,1.4577259475218658,0.2915451895043732,97.95918367346938,99.12536443148689,1.1661807580174928,4.373177842565598,46.647230320699705,2.9154518950437316,100.0,98.54227405247813,81.04956268221575,1.4577259475218658,0.8746355685131195,22.448979591836736,13.119533527696792,6.122448979591836,2.3323615160349855,15.160349854227405,0.0,3.7900874635568513,6.41399416909621,0.8746355685131195,2.3323615160349855,23.61516034985423,0.0,1.749271137026239,0.2915451895043732,96.7930029154519,99.41690962099126,98.54227405247813,97.37609329446065,100.0,68.22157434402332,88.62973760932945,84.8396501457726,20.408163265306122,55.10204081632652,30.029154518950435,94.16909620991254,99.41690962099126,83.38192419825073,0.2915451895043732,100.0,1.4577259475218658,0.5830903790087464,96.20991253644316,48.39650145772595,36.44314868804665,26.53061224489796,0.2915451895043732,22.448979591836736,58.89212827988338,0.0,0.2915451895043732,2.9154518950437316,0.8746355685131195,0.0,76.0932944606414,25.94752186588921,53.352769679300295,66.1807580174927,69.97084548104957,53.64431486880466,91.25364431486881,52.47813411078717,95.91836734693877,97.37609329446065,50.437317784256564,13.994169096209912
8,7.581227436823104,3.6101083032490973,1.444043321299639,8.303249097472925,2.166064981949458,3.2490974729241873,41.87725631768953,83.03249097472924,4.693140794223827,2.166064981949458,1.8050541516245486,18.772563176895307,0.0,2.166064981949458,6.4981949458483745,0.7220216606498195,0.36101083032490977,11.552346570397113,13.718411552346572,1.8050541516245486,2.166064981949458,2.527075812274368,2.166064981949458,1.083032490974729,20.938628158844764,2.166064981949458,90.61371841155234,85.1985559566787,80.14440433212997,99.63898916967509,99.63898916967509,99.27797833935018,87.36462093862815,68.59205776173285,88.4476534296029,79.06137184115524,77.25631768953069,99.63898916967509,2.166064981949458,2.888086642599278,0.7220216606498195,5.054151624548736,24.548736462093864,7.9422382671480145,8.664259927797833,8.303249097472925,0.0,1.8050541516245486,4.332129963898916,43.32129963898917,14.440433212996389,17.689530685920577,11.191335740072201,65.34296028880865,54.151624548736464,62.093862815884485,13.718411552346572,8.303249097472925,4.693140794223827,12.274368231046932,3.2490974729241873,12.274368231046932,20.216606498194945,0.7220216606498195,24.548736462093864,0.36101083032490977,3.6101083032490973,79.06137184115524,10.469314079422382,9.747292418772563,54.151624548736464,0.7220216606498195,1.444043321299639,4.332129963898916,0.0,0.7220216606498195,3.9711191335740073,0.0,0.0,16.60649819494585,3.6101083032490973,6.4981949458483745,7.2202166064981945,9.386281588447654,22.743682310469314,46.57039711191336,58.48375451263538,55.5956678700361,55.95667870036101,3.2490974729241873,1.444043321299639
9,10.650887573964498,4.142011834319527,1.183431952662722,7.6923076923076925,63.31360946745562,7.6923076923076925,4.733727810650888,30.76923076923077,10.059171597633137,4.142011834319527,3.5502958579881656,34.9112426035503,1.183431952662722,2.9585798816568047,12.42603550295858,0.0,2.9585798816568047,20.710059171597635,17.159763313609467,1.7751479289940828,3.5502958579881656,11.834319526627219,1.7751479289940828,0.591715976331361,93.49112426035504,3.5502958579881656,2.366863905325444,2.366863905325444,8.875739644970414,47.928994082840234,100.0,99.40828402366864,76.92307692307693,0.0,1.183431952662722,28.994082840236686,4.733727810650888,7.6923076923076925,4.733727810650888,6.508875739644971,0.591715976331361,52.662721893491124,7.6923076923076925,1.7751479289940828,1.7751479289940828,42.01183431952663,0.0,1.183431952662722,1.183431952662722,99.40828402366864,81.65680473372781,95.26627218934911,90.53254437869822,96.44970414201184,79.28994082840237,92.89940828402366,75.7396449704142,28.994082840236686,52.071005917159766,69.23076923076923,23.076923076923077,54.437869822485204,39.64497041420118,54.437869822485204,98.81656804733728,62.721893491124256,55.02958579881657,98.22485207100591,43.19526627218935,26.627218934911244,62.721893491124256,6.508875739644971,30.17751479289941,66.86390532544378,2.9585798816568047,1.7751479289940828,13.017751479289942,0.0,0.0,59.171597633136095,11.834319526627219,25.443786982248522,24.2603550295858,50.887573964497044,55.02958579881657,98.22485207100591,82.84023668639054,94.0828402366864,94.67455621301775,23.668639053254438,7.6923076923076925
